Product ID,Category,Sub Category,Product Name,Unit Price
PROD-0001,Furniture,Storage,Storage Prime 814,34478.85
PROD-0002,Electronics,Accessories,Accessorie Classic 691,28576.03
PROD-0003,Sports,Fitness Equipment,Fitness Equipment Elite 618,3694.38
PROD-0004,Home & Kitchen,Decor,Decor Classic 370,3137.9
PROD-0005,Clothing,Kids,Kid Smart 906,1154.63
PROD-0006,Furniture,Chairs,Chair Max 223,14924.71
PROD-0007,Clothing,Footwear,Footwear Elite 716,1599.38
PROD-0008,Electronics,Headphones,Headphone Max 315,56596.94
PROD-0009,Clothing,Kids,Kid Plus 260,4556.61
PROD-0010,Furniture,Storage,Storage Classic 114,23285.72
PROD-0011,Furniture,Storage,Storage Plus 220,21472.63
PROD-0012,Furniture,Bookcases,Bookcase Lite 797,44152.37
PROD-0013,Furniture,Tables,Table Ultra 340,12198.85
PROD-0014,Furniture,Chairs,Chair Plus 682,16505.26
PROD-0015,Sports,Outdoor Gear,Outdoor Gear Eco 542,6720.15
PROD-0016,Office Supplies,Binders,Binder Smart 106,1497.95
PROD-0017,Furniture,Bookcases,Bookcase Pro 112,19609.88
PROD-0018,Clothing,Kids,Kid Classic 837,2759.05
PROD-0019,Clothing,Women,Women Eco 399,495.84
PROD-0020,Sports,Team Sports,Team Sport Lite 631,7767.14
PROD-0021,Clothing,Kids,Kid Smart 551,3817.94
PROD-0022,Home & Kitchen,Appliances,Appliance Prime 123,11539.06
PROD-0023,Furniture,Bookcases,Bookcase Smart 574,32908.95
PROD-0024,Office Supplies,Paper,Paper Smart 161,1133.21
PROD-0025,Home & Kitchen,Appliances,Appliance Lite 528,2325.36
PROD-0026,Furniture,Chairs,Chair Elite 571,17549.47
PROD-0027,Electronics,Mobiles,Mobile Max 478,19020.02
PROD-0028,Furniture,Storage,Storage Pro 894,10618.2
PROD-0029,Clothing,Men,Men Ultra 554,2540.96
PROD-0030,Clothing,Footwear,Footwear Smart 621,3573.99
PROD-0031,Office Supplies,Binders,Binder Prime 191,747.29
PROD-0032,Office Supplies,Storage & Organization,Storage & Organization Pro 637,141.52
PROD-0033,Sports,Outdoor Gear,Outdoor Gear Plus 618,3930.93
PROD-0034,Home & Kitchen,Cookware,Cookware Lite 821,2420.52
PROD-0035,Furniture,Storage,Storage Classic 563,31331.46
PROD-0036,Clothing,Women,Women Prime 911,3870.43
PROD-0037,Clothing,Kids,Kid Classic 216,1045.1
PROD-0038,Clothing,Footwear,Footwear Lite 273,1020.0
PROD-0039,Home & Kitchen,Appliances,Appliance Ultra 890,6236.14
PROD-0040,Clothing,Kids,Kid Lite 702,2959.15
PROD-0041,Sports,Outdoor Gear,Outdoor Gear Max 314,10500.79
PROD-0042,Office Supplies,Paper,Paper Smart 794,2653.04
PROD-0043,Office Supplies,Paper,Paper Elite 683,1798.23
PROD-0044,Sports,Fitness Equipment,Fitness Equipment Eco 713,5480.96
PROD-0045,Electronics,Mobiles,Mobile Elite 773,76628.6
PROD-0046,Furniture,Tables,Table Eco 244,4292.42
PROD-0047,Furniture,Storage,Storage Pro 413,31597.92
PROD-0048,Office Supplies,Pens,Pen Prime 914,2406.36
PROD-0049,Electronics,Laptops,Laptop Elite 766,18372.6
PROD-0050,Electronics,Headphones,Headphone Elite 712,30975.36
PROD-0051,Sports,Outdoor Gear,Outdoor Gear Lite 423,12643.01
PROD-0052,Sports,Team Sports,Team Sport Elite 728,6211.63
PROD-0053,Furniture,Tables,Table Classic 272,25163.7
PROD-0054,Home & Kitchen,Cookware,Cookware Smart 626,11443.5
PROD-0055,Home & Kitchen,Furnishing,Furnishing Pro 637,1215.13
PROD-0056,Electronics,Cameras,Camera Max 389,54231.78
PROD-0057,Furniture,Tables,Table Elite 126,11908.52
PROD-0058,Office Supplies,Paper,Paper Smart 765,1034.4
PROD-0059,Home & Kitchen,Decor,Decor Ultra 900,11594.12
PROD-0060,Furniture,Storage,Storage Lite 898,6146.31
PROD-0061,Furniture,Tables,Table Elite 979,35814.4
PROD-0062,Sports,Outdoor Gear,Outdoor Gear Prime 974,8508.55
PROD-0063,Home & Kitchen,Appliances,Appliance Max 832,8892.63
PROD-0064,Sports,Team Sports,Team Sport Pro 920,6297.26
PROD-0065,Home & Kitchen,Decor,Decor Plus 147,11612.86
PROD-0066,Office Supplies,Storage & Organization,Storage & Organization Classic 889,1158.61
PROD-0067,Sports,Outdoor Gear,Outdoor Gear Lite 220,11239.88
PROD-0068,Home & Kitchen,Cookware,Cookware Max 930,7979.02
PROD-0069,Sports,Outdoor Gear,Outdoor Gear Ultra 573,3572.79
PROD-0070,Electronics,Laptops,Laptop Max 225,15614.79
PROD-0071,Office Supplies,Pens,Pen Eco 808,1350.26
PROD-0072,Office Supplies,Paper,Paper Plus 158,436.88
PROD-0073,Furniture,Chairs,Chair Lite 173,22632.27
PROD-0074,Electronics,Cameras,Camera Pro 415,17229.44
PROD-0075,Furniture,Tables,Table Prime 976,14984.49
PROD-0076,Home & Kitchen,Cookware,Cookware Max 645,4898.49
PROD-0077,Furniture,Chairs,Chair Elite 323,2264.61
PROD-0078,Clothing,Men,Men Elite 452,912.35
PROD-0079,Office Supplies,Binders,Binder Elite 191,1682.04
